District Name,State,Year Lifted,Year Placed,Order Type,Region
Calvert Isd,TX,STILL OPEN,1970,Involuntary,Southwest
Camden County,GA,STILL OPEN,1969,Involuntary,Southeast
Candler County,GA,2007,Unknown year,Involuntary,Southeast
Canton Public School Dist,MS,STILL OPEN,1965,Involuntary,Southeast
Cape Henlopen School District,DE,STILL OPEN,1957,Involuntary,Southeast
Capital School District,DE,STILL OPEN,Unknown year,Involuntary,Southeast
Carmel Clay Schools,IN,1998,Unknown year,Involuntary,Midwest
Carroll County School Dist,MS,STILL OPEN,1965,Involuntary,Southeast
Carthage Isd,TX,1995,Unknown year,Involuntary,Southwest
Caswell County Schools,NC,STILL OPEN,1958,Involuntary,Southeast
Catahoula Parish,LA,STILL OPEN,1966,Involuntary,Southeast
Center 58,MO,STILL OPEN,1986,Involuntary,Midwest
Chambers County,AL,STILL OPEN,1963,Involuntary,Southeast
Champaign Cusd 4,IL,2009,Unknown year,Involuntary,Midwest
Charleston 01,SC,1994,Unknown year,Involuntary,Southeast
Charlotte-Mecklenburg Schools,NC,2002,Unknown year,Involuntary,Southeast
Charlottesville Cty Pblc Schs,VA,STILL OPEN,1957,Involuntary,Southeast
Charlton County,GA,2009,Unknown year,Involuntary,Southeast
Chatham County,GA,1994,Unknown year,Involuntary,Southeast
Chattahoochee County,GA,2006,Unknown year,Involuntary,Southeast
Cherokee County,AL,2005,Unknown year,Involuntary,Southeast
Chesterfield 01,SC,STILL OPEN,1969,Involuntary,Southeast
Chesterfield Co Pblc Schs,VA,1972,Unknown year,Involuntary,Southeast
Chilton County,AL,2002,Unknown year,Involuntary,Southeast
Choctaw Co School Dist,MS,STILL OPEN,1970,Involuntary,Southeast
Choctaw County,AL,STILL OPEN,1966,Involuntary,Southeast
Christina School District,DE,1996,Unknown year,Involuntary,Southeast
Cincinnati City,OH,1991,Unknown year,Involuntary,Midwest
City Of Bogalusa School District,LA,2009,Unknown year,Involuntary,Southeast
City Of Chicago Sd 299,IL,2009,Unknown year,Involuntary,Midwest
City Of Monroe School District,LA,STILL OPEN,1966,Involuntary,Southeast
Claiborne Parish,LA,STILL OPEN,1966,Involuntary,Southeast
Clarendon 01,SC,STILL OPEN,1962,Involuntary,Southeast
Clarendon 02,SC,2004,Unknown year,Involuntary,Southeast
Clarendon 03,SC,STILL OPEN,1969,Involuntary,Southeast
Clark County School District,NV,STILL OPEN,1972,Involuntary,West
Clarke County,AL,1977,Unknown year,Involuntary,Southeast
Clarksdale Municipal School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Clay County,AL,STILL OPEN,1963,Involuntary,Southeast
Clay County,GA,2006,Unknown year,Involuntary,Southeast
Clayton,MO,1999,Unknown year,Involuntary,Midwest
Clayton County,GA,1977,Unknown year,Involuntary,Southeast
Cleburne County,AL,STILL OPEN,1963,Involuntary,Southeast
Cleveland Municipal,OH,1998,Unknown year,Involuntary,Midwest
Cleveland School Dist,MS,STILL OPEN,1976,Involuntary,Southeast
Clinch County,GA,STILL OPEN,1969,Involuntary,Southeast
Clinton Public School Dist,MS,STILL OPEN,1967,Involuntary,Southeast
Coahoma County School District,MS,STILL OPEN,1970,Involuntary,Southeast
Coffee County,AL,2004,Unknown year,Involuntary,Southeast
Coffee County,GA,1995,Unknown year,Involuntary,Southeast
Coffeeville School Dist,MS,2007,Unknown year,Involuntary,Southeast
Colbert County,AL,STILL OPEN,1963,Involuntary,Southeast
Colleton 01,SC,2004,Unknown year,Involuntary,Southeast
Colmesneil Isd,TX,STILL OPEN,1970,Involuntary,Southwest
Colonial School District,DE,1996,Unknown year,Involuntary,Southeast
Colquitt County,GA,STILL OPEN,1971,Involuntary,Southeast
Columbia,FL,1987,Unknown year,Involuntary,Southeast
Columbia County,GA,STILL OPEN,1969,Involuntary,Southeast
Columbia School District,MS,STILL OPEN,1969,Involuntary,Southeast
Columbus City School District,OH,1988,Unknown year,Involuntary,Midwest
Columbus Municipal School Dist,MS,2007,Unknown year,Involuntary,Southeast
Concordia Parish,LA,STILL OPEN,1966,Involuntary,Southeast
Conecuh County,AL,1979,Unknown year,Involuntary,Southeast
Cook County,GA,2007,Unknown year,Involuntary,Southeast
Coosa County,AL,2006,Unknown year,Involuntary,Southeast
Copiah Co School Dist,MS,STILL OPEN,1970,Involuntary,Southeast
Corinth School Dist,MS,1976,Unknown year,Involuntary,Southeast
Corpus Christi Isd,TX,1992,Unknown year,Involuntary,Southwest
Cotton Plant*,AR,2003,Unknown year,Involuntary,Southeast
Covington Co Schools,MS,STILL OPEN,1969,Involuntary,Southeast
Covington County,AL,2006,Unknown year,Involuntary,Southeast
Coweta County,GA,STILL OPEN,1969,Involuntary,Southeast
Crawford County,GA,2007,Unknown year,Involuntary,Southeast
Crenshaw County,AL,2006,Unknown year,Involuntary,Southeast
Crisp County,GA,STILL OPEN,1968,Involuntary,Southeast
Crockett County,TN,2007,Unknown year,Involuntary,Southeast
Crosby Isd,TX,2010,Unknown year,Involuntary,Southwest
Cullman City,AL,2004,Unknown year,Involuntary,Southeast
Cullman County,AL,STILL OPEN,1963,Involuntary,Southeast
Cumberland County Schools,NC,1978,Unknown year,Involuntary,Southeast
Dade,FL,2001,Unknown year,Involuntary,Southeast
Daingerfield-Lone Star Isd,TX,STILL OPEN,1970,Involuntary,Southwest
Dale County,AL,2005,Unknown year,Involuntary,Southeast
Daleville City,AL,2002,Unknown year,Involuntary,Southeast
Dallas County,AL,1977,Unknown year,Involuntary,Southeast
Dallas Isd,TX,1994,Unknown year,Involuntary,Southwest
Danville City Pblc Schs,VA,STILL OPEN,Unknown year,Involuntary,Southeast
Darlington 01,SC,1999,Unknown year,Involuntary,Southeast
Davidson County,TN,1998,Unknown year,Involuntary,Southeast
Dayton City,OH,2002,Unknown year,Involuntary,Midwest
Decatur City,AL,STILL OPEN,1963,Involuntary,Southeast
Decatur City,GA,2007,Unknown year,Involuntary,Southeast
Decatur County,GA,2007,Unknown year,Involuntary,Southeast
Decatur County Com Schools,IN,1998,Unknown year,Involuntary,Midwest
Dekalb County,AL,2006,Unknown year,Involuntary,Southeast
Dekalb County,GA,1996,Unknown year,Involuntary,Southeast
Demopolis City,AL,1979,Unknown year,Involuntary,Southeast
Denison Isd,TX,2011,Unknown year,Involuntary,Southwest
Desoto Parish,LA,STILL OPEN,1966,Involuntary,Southeast
Detroit City School District,MI,1977,Unknown year,Involuntary,Midwest
District Of Columbia Public Schools,DC,STILL OPEN,1954,Involuntary,
Dodge County,GA,STILL OPEN,1969,Involuntary,Southeast
Dollarway School District,AR,STILL OPEN,1959,Involuntary,Southeast
Dooly County,GA,STILL OPEN,1969,Involuntary,Southeast
Dorchester 02,SC,STILL OPEN,1968,Involuntary,Southeast
Dorchester 04,SC,STILL OPEN,1969,Involuntary,Southeast
Dothan City,AL,2006,Unknown year,Involuntary,Southeast
