District Name,City,State,Year Lifted,Year Placed
Ozark City,Ozark,AL,2002,N/A
Palm Beach,West Palm Beach,FL,1979,N/A
Palo Alto Unified,Palo Alto,CA,STILL OPEN,1979
Parkway C-2,Chesterfield,MO,1999,N/A
Pasadena Unified,Pasadena,CA,1979,N/A
Pasco,Land O Lakes,FL,STILL OPEN,1970
Pattonville R-Iii,St Ann,MO,2005,N/A
Peach County,Fort Valley,GA,STILL OPEN,1969
Pelham City,Pelham,GA,2006,N/A
Pell City,Pell City,AL,STILL OPEN,1966
Perry Central Com Schools Corp,Leopold,IN,1998,N/A
Perry County,Marion,AL,1982,N/A
Person County Schools,Roxboro,NC,STILL OPEN,N/A
Phenix City,Phenix City,AL,2005,N/A
Philadelphia City Sd,Philadelphia,PA,2009,N/A
Philadelphia Public School Dist,Philadelphia,MS,2010,N/A
Phoenix Elementary District,Phoenix,AZ,2005,N/A
Pickens County,Reform,AL,STILL OPEN,1963
Piedmont City,Piedmont,AL,STILL OPEN,1963
Pike County,Troy,AL,2007,N/A
Pike County School Corp,Petersburg,IN,1998,N/A
Pine Bluff School District,Pine Bluff,AR,STILL OPEN,1970
Pinellas,Largo,FL,2000,N/A
Pitt County Schools,Greenville,NC,2013,N/A
Pittsburg Unified,Pittsburg,CA,STILL OPEN,1969
Pittsburgh Sd,Pittsburgh,PA,1983,N/A
Plainfield Community Sch Corp,Plainfield,IN,1998,N/A
Plaquemines Parish,Belle Chasse,LA,STILL OPEN,1969
Pointe Coupee Parish,New Roads,LA,STILL OPEN,1965
Polk,Bartow,FL,2000,N/A
Pontiac City School District,Pontiac,MI,2000,N/A
Pontotoc Co School Dist,Pontotoc,MS,2007,N/A
Poplarville Separate School Dist,Poplarville,MS,STILL OPEN,1970
Port Arthur Isd,Port Arthur,TX,2007,N/A
Portsmouth City Pblc Schs,Portsmouth,VA,1971,N/A
Powhatan Co Pblc Schs,Powhatan,VA,STILL OPEN,1963
Prince George'S County Public Schools,Upper Marlboro,MD,2002,N/A
Pulaski Co. Spec. School Dist.,Little Rock,AR,STILL OPEN,1983
Pulaski County,Hawkinsville,GA,STILL OPEN,1969
Putnam County,Eatonton,GA,2007,N/A
Quitman Co School Dist,Marks,MS,STILL OPEN,N/A
Quitman County,Georgetown,GA,2006,N/A
Quitman School Dist,Quitman,MS,STILL OPEN,1994
Randolph County,Wedowee,AL,STILL OPEN,1963
Randolph County,Cuthbert,GA,STILL OPEN,1969
Rankin Co School Dist,Brandon,MS,STILL OPEN,1971
Rapides Parish,Alexandria,LA,2006,N/A
Raytown C-2,Raytown,MO,2003,N/A
Red Clay Consolidated School District,Wilmington,DE,1996,N/A
Red River Parish,Coushatta,LA,2005,N/A
Richardson Isd,Richardson,TX,STILL OPEN,1966
Richland Parish,Rayville,LA,STILL OPEN,1966
Richmond City Pblc Schs,Richmond,VA,1972,N/A
Richmond County,Augusta,GA,2013,N/A
Ritenour,St Louis,MO,1999,N/A
Roanoke City,Roanoke,AL,2007,N/A
Roanoke City Pblc Schs,Roanoke,VA,STILL OPEN,1962
Roanoke Co Pblc Schs,Roanoke,VA,STILL OPEN,1970
Rockford Sd 205,Rockford,IL,2001,N/A
Rockwood R-Vi,Eureka,MO,1999,N/A
Rome City,Rome,GA,2008,N/A
Russell County,Seale,AL,2002,N/A
Russellville City,Russellville,AL,STILL OPEN,1963
Sabine Parish,Many,LA,STILL OPEN,1977
Saluda 01,Saluda,SC,2002,N/A
San Angelo Isd,San Angelo,TX,STILL OPEN,N/A
San Augustine Isd,San Augustine,TX,2006,N/A
San Bernardino City Unified,San Bernardino,CA,STILL OPEN,1974
San Diego Unified,San Diego,CA,1998,N/A
San Felipe-Del Rio Cisd,Del Rio,TX,1988,N/A
San Francisco Unified,San Francisco,CA,2005,N/A
San Jose Unified,San Jose,CA,1998,N/A
San Juan District,Blanding,UT,STILL OPEN,1994
Sarasota,Sarasota,FL,1971,N/A
Schley County,Ellaville,GA,2006,N/A
School District No. 1 In The County Of Denver And State Of C,Denver,CO,1995,N/A
School Town Of Speedway,Speedway,IN,1998,N/A
Scott Co School Dist,Forest,MS,STILL OPEN,1970
Scottsboro City,Scottsboro,AL,STILL OPEN,1963
Screven County,Sylvania,GA,STILL OPEN,1968
Selma City,Selma,AL,1977,N/A
Seminole,Sanford,FL,2006,N/A
Seminole County,Donalsonville,GA,2006,N/A
Senatobia Municipal School Dist,Senatobia,MS,STILL OPEN,N/A
Sequoia Union High,Redwood City,CA,STILL OPEN,1971
Sheffield City,Sheffield,AL,STILL OPEN,1963
Shelby County,Columbiana,AL,STILL OPEN,1963
Shelby County,Shelbyville,KY,STILL OPEN,1972
Shelby County,Memphis,TN,2009,N/A
Simpson Co School Dist,Mendenhall,MS,STILL OPEN,1970
Smith Co School Dist,Raleigh,MS,1992,N/A
Smithville Isd,Smithville,TX,STILL OPEN,1970
So. Conway Co. School District,Morrilton,AR,STILL OPEN,1972
South Bend Community Sch Corp,South Bend,IN,STILL OPEN,1980
South Delta School District,Rolling Fork,MS,2004,N/A
South Pike School Dist,Magnolia,MS,STILL OPEN,1969
South Tippah School Dist,Ripley,MS,STILL OPEN,1967
Southampton Co Pblc Schs,Courtland,VA,2008,N/A
Specl. Sch. Dst. St. Louis Co.,Town & Country,MO,1999,N/A
Springfield,Springfield,MA,STILL OPEN,1965
Springfield Sd 186,Springfield,IL,STILL OPEN,1976
St Clair County,Ashville,AL,STILL OPEN,1966
St. Bernard Parish,Chalmette,LA,2006,N/A
St. Helena Parish,Greensburg,LA,STILL OPEN,1961
St. James Parish,Lutcher,LA,STILL OPEN,1966
St. John The Baptist Parish,Reserve,LA,STILL OPEN,1966
St. Johns,St Augustine,FL,STILL OPEN,1970
St. Landry Parish,Opelousas,LA,STILL OPEN,1969
St. Louis City,St Louis,MO,1999,N/A
St. Lucie,Fort Pierce,FL,1997,N/A
St. Martin Parish,St. Martinville,LA,STILL OPEN,1965
St. Mary Parish,Centerville,LA,STILL OPEN,1969
St. Mary'S County Public Schools,Leonardtown,MD,STILL OPEN,1958
St. Tammany Parish,Covington,LA,STILL OPEN,1966
Starkville School District,Starkville,MS,STILL OPEN,N/A
Strong-Huttig School District,Strong,AR,STILL OPEN,1970
Suffolk City Pblc Schs,Suffolk,VA,STILL OPEN,N/A
Sulphur Springs Isd,Sulphur Springs,TX,2000,N/A
Sumter 02,Sumter,SC,2012,N/A
Sumter County,Yorkville,AL,STILL OPEN,1963
Sumter County,Americus,GA,STILL OPEN,1969
Sunflower Co School Dist,Indianola,MS,2003,N/A
Sweeny Isd,Sweeny,TX,1980,N/A
Sylacauga City,Sylacauga,AL,1995,N/A
Talladega City,Talladega,AL,1993,N/A
Talladega County,Talladega,AL,1985,N/A
Tallapoosa County,Dadeville,AL,2004,N/A
Tallassee City,Tallassee,AL,2003,N/A
Tangipahoa Parish,Amite,LA,STILL OPEN,1968
Tarrant City,Tarrant,AL,STILL OPEN,1963
Tate Co School Dist,Senatobia,MS,STILL OPEN,N/A
Tattnall County,Reidsville,GA,STILL OPEN,1969
Tatum Isd,Tatum,TX,2008,N/A
Taylor County,Butler,GA,STILL OPEN,1969
Telfair County,Mcrae,GA,STILL OPEN,1969
Temple Isd,Temple,TX,2000,N/A
Tensas Parish,St. Joseph,LA,2005,N/A
Terrebonne Parish,Houma,LA,STILL OPEN,1967
Terrell County,Dawson,GA,2008,N/A
Thomas County,Thomasville,GA,2006,N/A
Thomasville City,Thomasville,AL,1977,N/A
Tipton County,Covington,TN,2007,N/A
Tishomingo Co Sp Mun Sch Dist,Iuka,MS,2005,N/A
Toombs County,Lyons,GA,2008,N/A
Topeka Public Schools,Topeka,KS,1999,N/A
Trenton,Trenton,TN,2008,N/A
Treutlen County,Soperton,GA,2007,N/A
Trinidad Isd,Trinidad,TX,STILL OPEN,1976
Trinity Isd,Trinity,TX,STILL OPEN,1973
Troup County,Lagrange,GA,2003,N/A
Troy City,Troy,AL,2005,N/A
Trussville City,Trussville,AL,STILL OPEN,1975
Tucson Unified District,Tucson,AZ,STILL OPEN,1976
Tulsa,Tulsa,OK,1983,N/A
Tunica County School District,Tunica,MS,STILL OPEN,1966
Turner County,Ashburn,GA,2007,N/A
Tuscaloosa City,Tuscaloosa,AL,2000,N/A
Tuscaloosa County,Tuscaloosa,AL,STILL OPEN,1963
Tuscumbia City,Tuscumbia,AL,STILL OPEN,1963
Twiggs County,Jeffersonville,GA,2012,N/A
Tyler Isd,Tyler,TX,STILL OPEN,1970
Union Co School Dist,New Albany,MS,STILL OPEN,1970
Union County Public Schools,Monroe,NC,1972,N/A
Union Parish,Farmerville,LA,STILL OPEN,1969
Union Public School Dist,Union,MS,2007,N/A
Union Township,Union,NJ,STILL OPEN,N/A
Uvalde Cisd,Uvalde,TX,STILL OPEN,1973
Valdosta City,Valdosta,GA,STILL OPEN,1970
Valley Park,Valley Park,MO,1999,N/A
Vermilion Parish,Abbeville,LA,1974,N/A
Vestavia Hills City,Vestavia Hills,AL,2007,N/A
Vicksburg Warren School Dist,Vicksburg,MS,2008,N/A
Vidalia City,Vidalia,GA,STILL OPEN,1969
Volusia,Deland,FL,1970,N/A
Waco Isd,Waco,TX,1989,N/A
Wakulla,Crawfordville,FL,2009,N/A
Walker County,Lafayette,GA,2008,N/A
Walker County,Jasper,AL,1977,N/A
Walthall Co School Dist,Tylertown,MS,STILL OPEN,1970
Walton County,Monroe,GA,2007,N/A
Warren County,Warrenton,GA,STILL OPEN,1969
Warren County Schools,Warrenton,NC,STILL OPEN,N/A
Warren School District,Warren,AR,STILL OPEN,1968
Washington Com Schools,Washington,IN,1998,N/A
Washington County,Sandersville,GA,STILL OPEN,1970
Washington County,Chatom,AL,1977,N/A
Washington Parish,Franklinton,LA,STILL OPEN,1967
Waterbury School District,Waterbury,CT,STILL OPEN,1969
Watson Chapel School District,Pine Bluff,AR,STILL OPEN,1971
Wayne Co School Dist,Waynesboro,MS,STILL OPEN,1970
Wayne County,Jesup,GA,STILL OPEN,1969
Webster Co School Dist,Eupora,MS,STILL OPEN,1970
Webster County,Preston,GA,2006,N/A
Webster Groves,Webster Groves,MO,1999,N/A
Webster Parish,Minden,LA,STILL OPEN,1974
Weldon City Schools,Weldon,NC,STILL OPEN,1964
West Baton Rouge Parish,Port Allen,LA,STILL OPEN,1965
West Carroll Parish,Oak Grove,LA,STILL OPEN,1969
West Feliciana Parish,St. Francisville,LA,2007,N/A
West Memphis School District,West Memphis,AR,STILL OPEN,1965
West Point School Dist,West Point,MS,STILL OPEN,1971
West Tallahatchie School District,Webb,MS,2006,N/A
Western Line School District,Avon,MS,STILL OPEN,N/A
Western Wayne Schools,Pershing,IN,1998,N/A
Wheeler County,Alamo,GA,STILL OPEN,1969
Whitewright Isd,Whitewright,TX,STILL OPEN,1970
Wichita Falls Isd,Wichita Falls,TX,1999,N/A
Wilcox County,Abbeville,GA,STILL OPEN,1969
Wilcox County,Alberta,AL,1979,N/A
Wilkes County,Washington,GA,2005,N/A
Wilkinson Co School Dist,Woodville,MS,2004,N/A
Wilkinson County,Irwinton,GA,2007,N/A
Wilson County,Lebanon,TN,STILL OPEN,1970
Wilson County Schools,Wilson,NC,1997,N/A
Winfield City,Winfield,AL,STILL OPEN,1963
Winona Isd,Winona,TX,Unknown year,N/A
Winston County,Double Springs,AL,2004,N/A
Woodland Hills Sd,Pittsburgh,PA,2000,N/A
Worth County,Sylvester,GA,STILL OPEN,1969
Yancey County Schools,Burnsville,NC,STILL OPEN,1960
Yazoo City Municipal School Dist,Yazoo City,MS,STILL OPEN,1970
Yazoo Co School Dist,Yazoo City,MS,STILL OPEN,1969
Yonkers City School District,Yonkers,NY,2002,N/A
