District Name,City,State,Year Lifted,Year Placed
Claiborne Parish,Homer,LA,STILL OPEN,1966
Clarendon 01,Summerton,SC,STILL OPEN,1962
Clarendon 02,Manning,SC,2004,N/A
Clarendon 03,Turbeville,SC,STILL OPEN,1969
Clark County School District,Las Vegas,NV,STILL OPEN,1972
Clarke County,Grove Hill,AL,1977,N/A
Clarksdale Municipal School Dist,Clarksdale,MS,STILL OPEN,1969
Clay County,Ashland,AL,STILL OPEN,1963
Clay County,Fort Gaines,GA,2006,N/A
Clayton,Clayton,MO,1999,N/A
Clayton County,Jonesboro,GA,1977,N/A
Cleburne County,Heflin,AL,STILL OPEN,1963
Cleveland Municipal,Cleveland,OH,1998,N/A
Cleveland School Dist,Cleveland,MS,STILL OPEN,1976
Clinch County,Homerville,GA,STILL OPEN,1969
Clinton Public School Dist,Clinton,MS,STILL OPEN,1967
Coahoma County School District,Clarksdale,MS,STILL OPEN,1970
Coffee County,Elba,AL,2004,N/A
Coffee County,Douglas,GA,1995,N/A
Coffeeville School Dist,Coffeeville,MS,2007,N/A
Colbert County,Tuscumbia,AL,STILL OPEN,1963
Colleton 01,Walterboro,SC,2004,N/A
Colmesneil Isd,Colmesneil,TX,STILL OPEN,1970
Colonial School District,New Castle,DE,1996,N/A
Colquitt County,Moultrie,GA,STILL OPEN,1971
Columbia,Lake City,FL,1987,N/A
Columbia County,Evans,GA,STILL OPEN,1969
Columbia School District,Columbia,MS,STILL OPEN,1969
Columbus City School District,Columbus,OH,1988,N/A
Columbus Municipal School Dist,Columbus,MS,2007,N/A
Concordia Parish,Vidalia,LA,STILL OPEN,1966
Conecuh County,Evergreen,AL,1979,N/A
Cook County,Adel,GA,2007,N/A
Coosa County,Rockford,AL,2006,N/A
Copiah Co School Dist,Hazlehurst,MS,STILL OPEN,1970
Corinth School Dist,Corinth,MS,1976,N/A
Corpus Christi Isd,Corpus Christi,TX,1992,N/A
Cotton Plant*,,AR,2003,N/A
Covington Co Schools,Collins,MS,STILL OPEN,1969
Covington County,Andalusia,AL,2006,N/A
Coweta County,Newnan,GA,STILL OPEN,1969
Crawford County,Roberta,GA,2007,N/A
Crenshaw County,Luverne,AL,2006,N/A
Crisp County,Cordele,GA,STILL OPEN,1968
Crockett County,Alamo,TN,2007,N/A
Crosby Isd,Crosby,TX,2010,N/A
Cullman City,Cullman,AL,2004,N/A
Cullman County,Cullman,AL,STILL OPEN,1963
Cumberland County Schools,Fayetteville,NC,1978,N/A
Dade,Miami,FL,2001,N/A
Daingerfield-Lone Star Isd,Daingerfield,TX,STILL OPEN,1970
Dale County,Ozark,AL,2005,N/A
Daleville City,Daleville,AL,2002,N/A
Dallas County,Selma,AL,1977,N/A
Dallas Isd,Dallas,TX,1994,N/A
Danville City Pblc Schs,Danville,VA,STILL OPEN,N/A
Darlington 01,Darlington,SC,1999,N/A
Davidson County,Nashville,TN,1998,N/A
Dayton City,Dayton,OH,2002,N/A
Decatur City,Decatur,AL,STILL OPEN,1963
Decatur City,Decatur,GA,2007,N/A
Decatur County,Bainbridge,GA,2007,N/A
Decatur County Com Schools,Greensburg,IN,1998,N/A
Dekalb County,Fort Payne,AL,2006,N/A
Dekalb County,Stone Mountain,GA,1996,N/A
Demopolis City,Demopolis,AL,1979,N/A
Denison Isd,Denison,TX,2011,N/A
Desoto Parish,Mansfield,LA,STILL OPEN,1966
Detroit City School District,Detroit,MI,1977,N/A
District Of Columbia Public Schools,Washington,DC,STILL OPEN,1954
Dodge County,Eastman,GA,STILL OPEN,1969
Dollarway School District,Pine Bluff,AR,STILL OPEN,1959
Dooly County,Vienna,GA,STILL OPEN,1969
Dorchester 02,Summerville,SC,STILL OPEN,1968
Dorchester 04,St. George,SC,STILL OPEN,1969
Dothan City,Dothan,AL,2006,N/A
Dougherty County,Albany,GA,STILL OPEN,1963
Dublin City,Dublin,GA,2013,N/A
Durant Public School Dist,Durant,MS,STILL OPEN,1965
Durham Public Schools,Durham,NC,1999,N/A
Duval,Jacksonville,FL,2001,N/A
Dyersburg,Dyersburg,TN,STILL OPEN,1966
Earle School District,Earle,AR,2003,N/A
Early County,Blakely,GA,STILL OPEN,1969
East Baton Rouge Parish,Baton Rouge,LA,2003,N/A
East Carroll Parish,Lake Providence,LA,2008,N/A
East Feliciana Parish,Clinton,LA,STILL OPEN,1965
East Tallahatchie Consol Sch Dist,Charleston,MS,2003,N/A
Echols County,Statenville,GA,2005,N/A
Ector County Isd,Odessa,TX,2010,N/A
Edenton/Chowan Schools,Edenton,NC,STILL OPEN,1968
Edgecombe County Schools,Tarboro,NC,1979,N/A
El Centro Elementary,El Centro,CA,STILL OPEN,1955
El Dorado School District,El Dorado,AR,STILL OPEN,1965
El Paso Isd,El Paso,TX,STILL OPEN,1971
Elba City,Elba,AL,2004,N/A
Elbert County,Elberton,GA,2009,N/A
Elmore County,Wetumpka,AL,2004,N/A
Elysian Fields Isd,Elysian Fields,TX,STILL OPEN,1970
Emanuel County,Swainsboro,GA,STILL OPEN,1969
Emmet*,,ID,STILL OPEN,N/A
England School District,England,AR,STILL OPEN,1971
Englewood City,Englewood,NJ,STILL OPEN,1964
Englewood On The Palisade Charter,Englewood,NJ,STILL OPEN,N/A
Enterprise City,Enterprise,AL,2003,N/A
Enterprise School Dist,Enterprise,MS,2012,N/A
Erie City Sd,Erie,PA,STILL OPEN,N/A
Escambia,Pensacola,FL,2004,N/A
Escambia County,Brewton,AL,1977,N/A
Etowah County,Gadsden,AL,2007,N/A
Eufaula City,Eufaula,AL,2003,N/A
Evangeline Parish,Ville Platte,LA,2012,N/A
Evansville Vanderburgh Sch Corp,Evansville,IN,2005,N/A
Fairfax Co Pblc Schs,Falls Church,VA,STILL OPEN,1964
Fairfield 01,Winnsboro,SC,2006,N/A
Fairfield City,Fairfield,AL,STILL OPEN,1965
Fairfield Isd,Fairfield,TX,STILL OPEN,1970
Fayette County,Fayette,AL,STILL OPEN,1963
Fayette County,Lexington,KY,STILL OPEN,1965
Fayette County,Somerville,TN,STILL OPEN,1972
Ferguson-Florissant R-Ii,Florissant,MO,1975,N/A
Ferndale Public Schools,Ferndale,MI,1995,N/A
Flagler,Bunnell,FL,STILL OPEN,1970
Flint School District Of The City Of,Flint,MI,2002,N/A
Florence 01,Florence,SC,STILL OPEN,1970
Florence 04,Timmonsville,SC,2005,N/A
Florence City,Florence,AL,STILL OPEN,1963
Forrest City School District,Forrest City,AR,STILL OPEN,1970
Forrest County School District,Hattiesburg,MS,STILL OPEN,1965
Forsyth County Schools,Winston Salem,NC,1984,N/A
Fort Osage R-I,Independence,MO,1984,N/A
Fort Payne City,Fort Payne,AL,STILL OPEN,1963
Fort Smith School District,Fort Smith,AR,2004,N/A
Fort Wayne Community Schools,Fort Wayne,IN,STILL OPEN,1990
Fort Worth Isd,Fort Worth,TX,1990,N/A
Franklin,Franklin,TN,STILL OPEN,1971
Franklin City Pblc Schs,Franklin,VA,2008,N/A
